predicted_answer,actual_answer,사고원인,인적사고
모터 교체 작업 시 필요한 받침대 사전 준비 및 작업 지침서에 명시하여 모든 작업자가 준수하도록 강화합니다.,모터 교체 작업 시 모터를 내려놓을 곳에 미리 받침대를 설치하여 모터가 땅에 떨어지더라도 손이 직접 땅에 부딪치지 않도록 방지하고 피해자 치료를 시행하는 조치.,모터 교체 작업 시 모터를 내려놓을 곳에 미리 받침대를 비치 하지 않음,끼임
"향후 모든 고소작업 시 안전고리의 필수 체결을 엄격히 준수하며, 정기적인 안전 교육 강화와 함께 현장 점검을 통해 미체결 사례를 사전에 방지하겠습니다.",작업전 안전교육 철저에 대한 재발 방지 대책과 향후 조치 계획.,안전고리 미체결 작업,떨어짐(2미터 이상 ~ 3미터 미만)
안전교육 강화 및 결빙 구간에 미끄럼 방지 장치 설치 의무화. 정기적인 위험 구간 점검 실시.,옥외구간 이동 시 지정된 통로(부직포 설치구간) 이용.,화장실을 가기 위해 1코어로 이동중 결빙구간에서 넘어지며 우측 손목에 골절 발생.,넘어짐(미끄러짐)
"개인 부주의 예방을 위한 정기적 안전 교육 강화 및 작업 전 안전 점검 의무화를 재발 방지 대책으로 삼고, 향후 모든 작업자에게 개인 보호 장비 착용 의무화와 함께 사고 발생 시 즉시 보고 시스템 구축을 조치 계획으로 합니다.",단철근 절단 작업 시 소형 핸드컷터 사용 권장 사항.,개인 부주의,부딪힘
"근로자 건강 검진 강화 및 심장질환 위험군에 대한 특별 관리 도입, 정기적인 스트레스 관리 교육 실시와 함께 심장마비 관련 응급 대응 프로토콜 업데이트 및 훈련 강화.",현장보존을 통한 재발 방지 대책과 향후 조치 계획.,심장마비,질병
정기적인 건강 검진 실시와 작업 환경 개선을 통한 근로자 부담 완화.,기저 질환을 가진 근로자의 업무 배치 적정성 확인과 관련하여 근로복지공단 통영지사로부터 S330 요추4-5번간 추간판 외상성 파열에 대한 승인 결정 통지를 받은 사항.,기저 질환을 가지고 있는 근로자의 요통 염좌,분류불능
작업 환경 온도 관리 강화 및 충분한 수분 보충 제공 실시.,폭염 시 작업 요령을 시공사에 전파하고 재해자의 상태를 지속적으로 관찰 및 대응하는 조치 계획.,야외 작업중 더위로 추정되는 원인에 의한 작업자 쓰러짐,기타
"안전교육 강화와 절단기 점검 절차 엄격히 준수하며, 작업 시 안전커버 확인 및 작업자 안전거리 준수를 위한 감독 체계 구축.","목재 고정용 바이스 설치, 말림 방지장갑 지급, 유사공종 작업자 특별교육 및 현장 안전관리 철저.","절단기 안전커버가 일부 오픈되어 있었고, 작업자의 부주의로 톱날 가까이 잡고 목재 절단","절단, 베임"
"안전 교육 강화로 미끄럼 방지 조치와 주의사항 인지 제고, 현장 점검 강화로 즉시 개선 조치 취하고, 부주의 사고 예방을 위한 실시간 감독 체계 구축 예정.",사다리 전수 점검 및 논슬립 테이프 부착과 산업재해조사표 제출을 통한 재발 방지 대책.,사다리 미끄럼 방지 조치 미흡 및 이동 중 부주의,넘어짐(미끄러짐)
안전 교육 강화 및 지속적인 안전 감독 실시.,안전고리 부착시설 설치와 말비계 사용 안전수칙 교육을 통한 재발 방지 대책 및 향후 조치 계획.,작업자 부주의,떨어짐(2미터 미만)
안전 교육 강화 및 개인 보호 장비 착용 의무화. 정기적인 안전 점검 실시.,해당팀 근로자 전원 안전교육 실시와 산업재해 조사표 제출 예정에 따른 재발 방지 대책.,개인 부주의로 인해 망치로 재해자 본인  손가락 타격.,물체에 맞음
안전 신호 체계 강화 및 크레인 조종사와 작업자 간의 명확한 의사소통 훈련 실시. 안전대 착용 의무화 및 모든 작업자에게 안전 교육 강화.,"이동식크레인 기사와의 신호철저, 안전대체결, 관리감독 철저에 대한 재발 방지 대책과 향후 조치 계획.","이동식크레인 기사와의 신호미흡, 안전대 미체결",떨어짐(3미터 이상 ~ 5미터 미만)
